gene	partner	tolerance
ABL2	RCSD1	50
ABL2	ZC3HAV1	50
ALK	NPM1	50
ALK	TPM4	50
ALK	ATIC	50
ALK	MSN	50
ALK	MYH9	50
ALK	RNF213	50
ALK	CLTC	50
ALK	SQSTM1	50
ALK	TFG	50
ALK	RANBP2	50
ALK	KIF5B	50
ALK	CARS1	50
ALK	PPFIBP1	50
ALK	SEC31A	50
ALK	FNI	50
BCL2	IGH	50
BCL6	IGH	50
BRAF	RNF11	50
BRAF	BICD2	50
BRAF	PACSIN2	50
BRAF	MS4A6A	50
CBFA2T3	GLIS2	50
CBFA2T3	GLIS3	50
CBFB	MYH11	50
CD274	IGH	50
CRLF2	IGH	50
CRLF2	P2RY8	50
CSF1R	SSBP2	50
CSF1R	TBL1XR1	50
CSF1R	MEF2D	50
DUX4	IGH	50
EPOR	IGH	50
EPOR	LAIR1	50
EPOR	THADA	50
ETV6	NIPBL	50
ETV6	EP300	50
ETV6	FOXO1	50
ETV6	INO80D	50
ETV6	SKAP1	50
ETV6	MN1	50
ETV6	MNX1	50
ETV6	LMBR1	50
ETV6	ITPRID1	50
ETV6	PDGFRB	50
ETV6	ECHDC1	50
ETV6	RUNX1	50
FLT3	SSBP2	50
FGFR2	ETV6	50
RET	BCR	50
RET	CEP43	50
FUS	FLI1	50
HLF	TCF3	50
HLF	TCF4	50
IL3	IGH	50
IRF4	DUSP22	50
JAK2	ATF7IP	50
JAK2	BCR	50
JAK2	EBF1	50
JAK2	ETV6	50
JAK2	GOLGA5	50
JAK2	HMBOX1	50
JAK2	OFD1	50
JAK2	PAX5	50
JAK2	PCM1	50
JAK2	PPFIBP1	50
JAK2	RFX3	50
JAK2	SMU1	50
JAK2	SNX29	50
JAK2	SSBP2	50
JAK2	STRN3	50
JAK2	TERF2	50
JAK2	TPR	50
JAK2	USP25	50
JAK2	ZBTB46	50
JAK2	ZNF274	50
KAT6A	CREBBP	50
KAT6A	NCOA2	50
KAT6A	EP300	50
KMT2A	AFF1	50
KMT2A	MLLT3	50
KMT2A	MLLT1	50
KMT2A	MLLT10	50
KMT2A	ELL	50
KMT2A	AFDN	50
KMT2A	MLLT6	50
KMT2A	MLLT11	50
KMT2A	EPS15	50
KMT2A	SEPTIN6	50
KMT2A	SEPTIN9	50
KMT2A	AFF3	50
KMT2A	TET1	50
KMT2A	SEPTIN5	50
KMT2A	ABI1	50
KMT2A	KNL1	50
KMT2A	MAML2	50
KMT2A	MYO1F	50
KMT2A	PICALM	50
KMT2A	TNRC18	50
KMT2A	FLNA	50
KMT2A	NEBL	50
KMT2A	ACTN4	50
KMT2A	AFF4	50
KMT2A	BTBD18	50
KMT2A	CBL	50
KMT2A	CEP170B	50
KMT2A	CREBBP	50
KMT2A	DCP1A	50
KMT2A	FOXO3	50
KMT2A	SEPTIN11	50
KMT2A	ABI2	50
KMT2A	ACACA	50
KMT2A	ACER1	50
KMT2A	AKAP13	50
KMT2A	ARHGAP26	50
KMT2A	ARHGEF12	50
KMT2A	ARHGEF17	50
KMT2A	BCL9L	50
KMT2A	BUD13	50
KMT2A	C2CD3	50
KMT2A	CASP8AP2	50
KMT2A	CEP164	50
KMT2A	CLTA	50
KMT2A	CLTC	50
KMT2A	DCPS	50
KMT2A	EEFSEC	50
KMT2A	FNBP1	50
KMT2A	GAS7	50
KMT2A	GIGYF2	50
KMT2A	GMPS	50
KMT2A	KIF2A	50
KMT2A	LAMC3	50
KMT2A	LOC100131626	50
KMT2A	ME2	50
KMT2A	MRTFA	50
KMT2A	MYH11	50
KMT2A	NOX4	50
KMT2A	NRIP3	50
KMT2A	NUP153	50
KMT2A	PDS5A	50
KMT2A	PFDN4	50
KMT2A	PRPF19	50
KMT2A	PRRC1	50
KMT2A	RABGAP1	50
KMT2A	RUNDC3B	50
KMT2A	SEPTIN2	50
KMT2A	SMAP1	50
KMT2A	TCF12	50
KMT2A	TOP3A	50
KMT2A	VAV1	50
KMT2A	BTK	50
MALT1	BIRC3	50
MECOM	GATA2	50
MEF2D	BCL9	50
MEF2D	CSF1R	50
MEF2D	FOXJ2	50
MEF2D	DAZAP1	50
MEF2D	SS18	50
MEF2D	HNRNPUL1	50
MEF2D	HNRNPH1	50
MLLT10	PICALM	50
MLLT10	DDX3X	50
MLLT10	TEC	50
MLLT10	MAP2K2	50
MLLT10	NAP1L1	50
MLLT10	XPO1	50
MLLT10	DDX3Y	50
MLLT10	DDX10	50
MTCP1	TCR	50
MYC	IGH	50
NUP214	DEK	50
NUP214	PSIP1	50
NUP214	SET	50
NUP98	NSD1	50
NUP98	KDM5A	50
NUP98	PHF23	50
NUP98	BPTF	50
NUP98	CADM1	50
NUP98	DDX10	50
NUP98	JADE2	50
NUP98	RAP1GDS1	50
NUP98	ZFX	50
NUP98	BRWD3	50
NUP98	PRRX1	50
NUP98	PSIP1	50
NUP98	HOXD13	50
NUTM1	ACIN1	50
NUTM1	CUX1	50
NUTM1	BRD9	50
NUTM1	IKZF1	50
NUTM1	SLC12A6	50
NUTM1	ZNF618	50
PAX5	ETV6	50
PAX5	NOL4L	50
PAX5	AUTS2	50
PAX5	CBFA2T3	50
PAX5	ZNF521	50
PAX5	DACH1	50
PAX5	DACH2	50
PAX5	FOXP1	50
PAX5	ELN	50
PAX5	ZCCHC7	50
PAX5	BCOR	50
PAX5	DMRTA2	50
PAX5	ZNF276	50
PAX5	ZNF318	50
PAX5	FBRSL1	50
PAX5	FKBP15	50
PAX5	GREB1L	50
PAX5	GRM3	50
PAX5	KANK1	50
PAX5	MAPT	50
PAX5	MBNL1	50
PAX5	MLLT3	50
PAX5	MPRIP	50
PDGFRA	FIP1L1	50
PDGFRA	BCR	50
PDGFRB	ATF7IP	50
PDGFRB	EBF1	50
PDGFRB	ETV6	50
PDGFRB	TNIP1	50
PDGFRB	ZMYND8	50
RARA	PML	50
RBM15	MRTFA	50
RUNX1	RUNX1T1	50
TCF3	PBX1	50
TCL1A	TCR	50
TP63	ATXN1	50
TP63	TBL1XR1	50
TP63	FOXK2	50
ZNF384	TCF3	50
ZNF384	EP300	50
ZNF384	TAF15	50
ZNF384	EWSR1	50
ZNF384	CREBBP	50
ZNF384	ARID1B	50
ZNF384	BMP2K	50
ZNF384	CLTC	50
ZNF384	NIPBL	50
ZNF384	SMARCA2	50
ZNF384	SYNRG	50
NPM1	MLF1	50
BCL11B	RUNX1	50
BCL11B	TLX1	50
BCL11B	ARID1B	50
CIITA	PDCD1LG2	50
CIITA	NUBP1	50
ERG	HNRNPH1	50
ERG	GATA2	50
LMO2	TCR	50
LMO2	STAG2	50
LMO2	IGH	50
LMO2	FOXJ2	50
LMO1	TCR	50
LYL1	TCR	50
LYN	GATAD2A	50
MYB	ZNF319	50
MYB	TCR	50
MYB	GATA1	50
NKX2-1	CDK6	50
NOTCH1	TCR	50
NOTCH1	EDF1	50
RUNX1	CBFA2T2	50
RUNX1	AFF3	50
RUNX1	MECOM	50
TAL1	STIL	50
TAL1	TCR	50
TLX1	TCR	50
TLX3	TCR	50
TLX3	BCL11B	50
TLX3	CDK6	50
TYK2	NPM1	50
ZNF362	EP300	50
ZNF362	SMARCA2	50
