ALK,TFG
ALK,RANBP2
ALK,KIF5B
ALK,CARS
ALK,PPFIBP1
ALK,SEC31A
ALK,FNI
BCL2,IGH
BCL6,IGH
BRAF,RNF11
BRAF,BICD2
BRAF,PACSIN2
BRAF,MS4A6A
CBFA2T3,GLIS2
CBFA2T3,GLIS3
CBFB,MYH11
CD274,IGH
CRLF2,IGH
CRLF2,P2RY8
CSF1R,SSBP2
CSF1R,TBL1XR1
CSF1R,MEF2D
DUX4,IGH
EPOR,IGH
EPOR,LAIR1
EPOR,THADA
ETV6,NIPBL
ETV6,EP300
ETV6,FOXO1
ETV6,INO80D
ETV6,SKAP1
ETV6,MN1
ETV6,MNX1
ETV6,LMBR1
ETV6,ITPRID1
ETV6,PDGFRB
ETV6,ECHDC1
ETV6,RUNX1
FLT3,SSBP2
FGFR2,ETV6
RET,BCR
RET,FGFR1OP
FUS,FLI1
HLF,TCF3
HLF,TCF4
IL3,IGH
IRF4,DUSP22
JAK2,ATF7IP
JAK2,BCR
JAK2,EBF1
JAK2,ETV6
JAK2,GOLGA5
JAK2,HMBOX1
JAK2,OFD1
JAK2,PAX5
JAK2,PCM1
JAK2,PPFIBP1
JAK2,RFX3
JAK2,SMU1
JAK2,SNX29
JAK2,SSBP2
JAK2,STRN3
JAK2,TERF2
JAK2,TPR
JAK2,USP25
JAK2,ZBTB46
JAK2,ZNF274
JAK2,ZNF340
KAT6A,CREBBP
KAT6A,NCOA2
KAT6A,EP300
KMT2A,AFF1
KMT2A,MLLT3
KMT2A,MLLT1
KMT2A,MLLT10
KMT2A,ELL
KMT2A,AFDN
KMT2A,MLLT6
KMT2A,MLLT11
KMT2A,EPS15
KMT2A,SEPTIN6
KMT2A,SEPTIN9
KMT2A,AFF3
KMT2A,TET1
KMT2A,SEPTIN5
KMT2A,ABI1
KMT2A,KNL1
KMT2A,MAML2
KMT2A,MYO1F
KMT2A,PICALM
KMT2A,TNRC18
KMT2A,FLNA
KMT2A,NEBL
KMT2A,ACTN4
KMT2A,AFF4
KMT2A,BTBD18
KMT2A,CBL
KMT2A,CEP170B
KMT2A,CREBBP
KMT2A,DCP1A
KMT2A,FOXO3
KMT2A,SEPTIN11
KMT2A,ABI2
KMT2A,ACACA
KMT2A,ACER1
KMT2A,AKAP13
KMT2A,ARHGAP26
KMT2A,ARHGEF12
KMT2A,ARHGEF17
KMT2A,BCL9L
KMT2A,BUD13
KMT2A,C2CD3
KMT2A,CASP8AP2
KMT2A,CEP164
KMT2A,CLTA
KMT2A,CLTC
KMT2A,DCPS
KMT2A,EEFSEC
KMT2A,FNBP1
KMT2A,GAS7
KMT2A,GIGYF2
KMT2A,GMPS
KMT2A,KIF2A
KMT2A,LAMC3
KMT2A,LOC100131626
KMT2A,ME2
KMT2A,MRTFA
KMT2A,MYH11
KMT2A,NOX4
KMT2A,NRIP3
KMT2A,NUP153
KMT2A,PDS5A
KMT2A,PFDN4
KMT2A,PRPF19
KMT2A,PRRC1
KMT2A,RABGAP1
KMT2A,RUNDC3B
KMT2A,SEPTIN2
KMT2A,SMAP1
KMT2A,TCF12
KMT2A,TOP3A
KMT2A,VAV1
KMT2A,BTK
MALT1,BIRC3
MECOM,EVI1
MECOM,GATA2
MEF2D,BCL9
MEF2D,CSF1R
MEF2D,FOXJ2
MEF2D,DAZAP1
MEF2D,SS18
MEF2D,HNRNPUL1
MEF2D,HNRNPH1
MLLT10,PICALM
MLLT10,DDX3X
MLLT10,TEC
MLLT10,MAP2K2
MLLT10,NAP1L1
MLLT10,XPO1
MLLT10,DDX3Y
MLLT10,DDX10
MTCP1,TCR
MYC,IGH
NUP214,DEK
NUP214,PSIP1
NUP214,SET
NUP98,NSD1
NUP98,KDM5A
NUP98,PHF23
NUP98,BPTF
NUP98,CADM1
NUP98,DDX10
NUP98,JADE2
NUP98,RAP1GDS1
NUP98,ZFX
NUP98,BRWD3
NUP98,PRRX1
NUP98,PSIP1
NUP98,HOXD13
NUTM1,ACIN1
NUTM1,CUX1
NUTM1,BRD9
NUTM1,IKZF1
NUTM1,SLC12A6
NUTM1,ZNF618
PAX5,ETV6
PAX5,NOL4L
PAX5,AUTS2
PAX5,CBFA2T3
PAX5,ZNF521
PAX5,DACH1
PAX5,DACH2
PAX5,FOXP1
PAX5,ELN
PAX5,ZCCHC7
PAX5,BCOR
PAX5,DMRTA2
PAX5,ZNF276
PAX5,ZNF318
PAX5,FBRSL1
PAX5,FKBP15
PAX5,GREB1L
PAX5,GRM3
PAX5,KANK1
PAX5,MAPT
PAX5,MBNL1
PAX5,MLLT3
PAX5,MPRIP
PDGFRA,FIP1L1
PDGFRA,BCR
PDGFRB,ATF7IP
PDGFRB,EBF1
PDGFRB,ETV6
PDGFRB,TNIP1
PDGFRB,ZMYND8
RARA,PML
RBM15,MRTFA
RUNX1,RUNX1T1
TCF3,PBX1
TCL1A,TCR
TP63,ATXN1
TP63,TBL1XR1
TP63,FOXK2
ZNF384,TCF3
ZNF384,EP300
ZNF384,TAF15
ZNF384,EWSR1
ZNF384,CREBBP
ZNF384,ARIDIB
ZNF384,BMP2K
ZNF384,CLTC
ZNF384,NIPBL
ZNF384,SMARCA2
ZNF384,SYNRG
NPM1,MLF1
BCL11B,RUNX1
BCL11B,TLX1
BCL11B,ARID1B
CIITA,PDCD1LG2
CIITA,NUBP1
ERG,HNRNPH1
ERG,GATA2
LMO2,TCR
LMO2,STAG2
LMO2,IGH
LMO2,FOXJ2
LMO1,TCR
LYL1,TCR
LYN,GATAD2A
MYB,ZNF319
MYB,TCR
MYB,GATA1
NKX2-1,CDK6
NOTCH1,TCR
NOTCH1,EDF1
RUNX1,CBFA2T2
RUNX1,AFF3
RUNX1,MECOM
TAL1,STIL
TAL1,TCR
TLX1,TCR
TLX3,TCR
TLX3,BCL11B
TLX3,CDK6
TYK2,NPM1
ZNF362,EP300
ZNF362,SMARCA2
